mac,dep_station,dep_time,time,dep_time_group
mac,dep_station,dep_time,time,NaN
34:14:5f:15:bd:01,heroes,11352,339,11100
a4:ca:a0:74:bd:19,heroes,11431,145,11400
3c:fa:43:3c:b1:05,heroes,11466,155,11400
d8:68:c3:f7:7e:a1,heroes,11480,283,11400
da:a1:19:d5:74:28,heroes,11481,917,11400
9c:2a:83:55:64:42,heroes,11528,453,11400
80:6c:1b:5c:13:eb,heroes,11601,335,11400
e8:91:20:7b:c1:6f,heroes,11606,266,11400
d0:04:01:d8:e3:17,heroes,11611,391,11400
0c:cb:85:d6:d3:70,heroes,11618,244,11400
ec:88:92:1d:17:84,heroes,11631,241,11400
dc:0b:34:c0:7b:6a,heroes,11698,301,11400
b0:e0:3c:e5:86:f8,heroes,11941,230,11700
14:6b:72:ff:4d:9f,heroes,12026,381,12000
da:a1:19:7b:88:3c,heroes,12392,368,12300
44:c3:46:d7:25:61,heroes,12462,294,12300
90:68:c3:1e:bf:50,heroes,12489,276,12300
